Location,Count,ID
נחל עוז,16,62efb63cbd
קיבוץ כיסופים,13,93b0d6f539
קיבוץ יפתח,12,27dc30f58b
רעים,9,8a6121c2f7
חמ״ל כיסופים,2,8415145e10
כרם שלום,7,becddd236a
ישראל,159,65b3a57329
הנגב,26,cbcdc34b0c
נובה,83,383c5ce072
ים המלח,20,18385eafaf
כפר עזה,54,265dfaf687
אשקלון,11,6654cfebd6
עזה,210,76f1567f27
חורשה,2,46b955e2e7
פלורידה,1,6001586396
בית החולים סורוקה,9,8b5b8ed643
טוקטוק,2,dc2cc40a7a
ניר עוז,36,28db941765
מגן,13,f26e537245
נירים,19,f1fa23a160
עוטף עזה,123,4beae8866f
מעליי,2,cc6b4732da
iceland,1,83166cdeb7
golan,2,079fe3a237
abitbolthat,1,a8f1fd7fe9
בארי,62,121a680eee
הדרום,48,ca7463ac9e
בלגיה,1,9d49f962a2
גן אל,1,1b1a6ee871
נתב״ג,1,d946650ec3
פריגן,2,5930ce6a9b
כביש 6,1,8371ea6e7c
צומת בית קמה,13,095e9d5bf3
יכיני,4,7fdbc929ac
מועצה אזורית שער הנגב,1,de0897ccd3
גבים,10,cd6661c50b
ערבה,1,c256af909b
שער הנגב,3,c92455b7c2
שדרות,42,3bcbe819d1
כפר עציון,1,eb9db6eec9
אופקים,17,59a4a038cc
קיבוץ רעים,5,02fd67e637
צפון,37,aa43477d25
מועצה אזורית אשכול,1,7988d5cdf2
אילת,15,a072372421
ניר יצחק,6,104e3bdc71
מלון קיסר,1,7ff2ff8f0b
באר שבע,5,8b7c3b8e9f
שכונת דור,4,56f17454ff
אלונית,4,18a8604475
גבעתי,2,079ba56eae
צאלים,2,797c203491
הקרייה,3,9153445a97
גן עדן,1,67ee67b06b
ארץ ישראל,4,73933a991a
תל אביב,9,020db435ad
נתיבות,11,5e056eddbc
מלון נגה,1,d69c3ea781
america,1,f938c93da3
צומת גילת,3,b0ac66b25d
רוחמה,2,ab134645ea
ארז,15,7cfd16bb4a
צומת שער הנגב,2,ab2d6f573e
מיתר,2,9de43fae1d
יוון,2,03417f81a9
נתיב העשרה,3,e97ada0a92
העשרה,2,6c9a3754cf
בארי ,2,5bfa0dfc3a
מפלסים,8,d51cee1c3e
מעבר ארז,2,ca4c7f71cb
יד מרדכי,2,cbbb614ef8
צומת איבים,2,f0c814f1a9
גבעתיים,1,8190fab8c6
הרצועה,29,01dbc5ef76
ירדן,2,aef3605e75
gaza border,1,f0534494dd
רמת הגולן,2,eab28c71dd
קיבוץ ניר עם,2,1d45023528
ניר עם,3,ed3187da0c
שטחים,1,32a63eaaae
עדן,1,da8d6779bb
שפיים,3,425bdd96b0
שוקרון,1,80a10306b4
שילה,1,a51821332d
כרם,1,923a337b7f
אורווה,1,ea020fded5
מוצב ארז,1,291a9b0754
השפלה,1,fabb6f73a1
השטחים,1,c58ef009cb
מזרח התיכון,2,435e1b98a5
פטיש,1,91b8eba66d
רהט,1,ea05bbf379
קרית גת,3,fab0a0a8c4
הר לעמק,1,f4a621ccf6
שוקדה,2,7f18986d4f
כפר הנגיד,1,62a4a0d1d3
אשדוד,5,e6e0765e6b
אור הנר,2,3d7926c0c8
דור אלון,1,d72b947ee2
בית חולים וולפסון,2,26356b1460
וולפסון,2,f27e0a3343
דימונה,2,be2153f75d
שאלין,1,f41f99cce1
כביש שדרות,1,927bb6a2c8
אורים,3,dfe9ac87cf
בית החולים שערי צדק,1,97bb759332
איבים,1,cd839f41b7
אפגניסטן,1,726ebece24
מואב,1,177dce68a3
סעד,6,56da4365fd
קיבוץ מפלסים,2,c2fb4b1ec3
מוצב נחל עוז,2,d52694888b
צומת כפר עזה,1,f20aa902db
בית החולים איכילוב,1,d22c64763f
קריית גת,1,8a64ad1a93
צוק איתן,8,dcc73a5d39
חיפה,7,c9e5e3b334
עין השופט,1,20e4ded6ba
קיבוץ מצר,1,60cd1eb10b
קיבוץ להב,1,888ab7fe92
סעיד משה,1,2122818d49
כפר מסריק,1,c935848d7a
ברור חיל,1,b751166824
קייב,1,b91a9386ba
ז׳יטומיר,1,7616f2e3a3
מרדכי,1,4585dd088c
אוקראינה,2,1c1d299709
כביש 232,1,d1b58228b4
גוש קטיף,1,aadba10c6e
הירקון,1,bb2b10e1e0
סי טאואר,1,7728999850
קו העימות,1,f0d0d35bbb
איתמר אייכנר,1,2d47ec6352
צומת העוגן,1,992c551f19
כיכר האו״ם,1,7c44ffbb5a
ז׳נבה,1,972b926166
חוף זיקים,4,cf5e170c6e
סרי לנקה,1,dc1cd1c6d5
