Organization,Count,ID
גולני,3,922aa3867d
המקום הכי חם בגיהנום,3,0b905e8e99
מדינת ישראל,17,7d523c41a9
פיקוד העורף,7,0082ac8d28
המועצה לכפרים הלא מוכרים בנגב,1,12b013be48
ממשלת ישראל,21,93341a4ae3
חמאס,146,906d5df14a
צה״ל,172,b0b581a4af
מרצ,2,2c7c57731c
משרד ראש הממשלה,1,1535adacdc
הכנסת,51,984199f6b9
האו״ם,73,2b7e70c031
משטרת ישראל,61,80938121bd
השב״כ,21,8a31e3f429
ימ״מ,14,3284c803c2
מועצה אזורית תמר,1,f3f129a776
אגודת ישראל,1,8cb2e3f046
הצנחנים,8,ffe482555a
זק״א,9,8a020c0ce3
עיריית שדרות,2,99c7d030e4
פו״ם,1,fdd0dac0a7
ynet,13,f1bcf9a332
חיזבאללה ,1,84e076b869
חיל האוויר,4,bb128f783c
אוגדת עזה,3,943ddff9ba
פיקוד דרום,3,5fa64ce263
טייסת 69,1,615bf259c5
ג׳יהאד האיסלאמי,1,3455ccaba6
צבא היבשה,1,9e0ef69776
פיקוד צפון,1,0c357140e7
אמ״ן,2,ada7c0a333
מגל״ן,10,76717b3110
בית החולים סורוקה,3,8b5b8ed643
ap,34,62c4285338
twitter,34,b73c2d2276
ניו יורק טיימס,6,b7459e798b
hospitals,2,b76d623d82
טלגרם,2,da2cc97d33
מד״א,16,7a396ce1cc
12,1,c20ad4d76f
גלי צה״ל,1,632832297f
משרד הפנים,3,efd927af47
רשות האוכלוסין,1,3f1f3a5c4d
חדשות 12,5,1e48f320e9
הצלה,33,20899fb09e
מועצה אזורית שער הנגב,1,de0897ccd3
יס,1,8986b53b47
יחידת דובדבן,6,fce2836b51
שייטת גבעתי,4,6d644e3241
שייטת,4,68259bea5a
גבעתי,11,079ba56eae
סיירת נח״ל,3,690cb3da29
סיירת נחל,2,d6d6c1bfa4
הפלס״ם,2,1530a06bd7
פרוקטור אנד גמבל,1,2c2e1949fb
ישרוטל,4,4154b0f36a
משרד הרווחה,2,e3882be883
midburn,1,de056aa951
fox,1,2b95d1f09b
קופת החולים מכבי,5,658092e61c
מעריב,1,44c9834b17
יחידה 71,1,2abfe67bbc
ישראל היום,6,bf39199e74
כאן 11 ,2,84f07bc7ea
כאן 11,5,0509136528
zaka south,1,1db2f536a9
חברת חשמל,1,d3273c43d5
מיצובישי אטראז׳׳,1,dae47366f4
מיקרוסופט,1,84b833c5c7
news nation,1,3b5cae563a
אסותא אשדוד,3,6ddc886ec3
ארץ נהדרת,2,8dd39b9156
תעל,1,f509257da3
רבש״צ,2,69c308b41f
cnn,5,ff7a415715
חדשות 13,2,72c89b506c
צה׳׳ ל,2,746db5cba5
nova,3,1a9c91f6e0
 נשות הכפר ,1,13c0ec8d7b
wall street journal,1,8e41ca96be
wall street,1,1f1dc53c5a
ידידים,1,ea8952dbb7
קרקל,2,e352d9c664
משטרת אופקים,1,003b8ea219
וולפסון,2,f27e0a3343
מרכז חוסן,2,5a4a49e88d
מרכז הרפואי וולפסון,2,0381ee20b8
mako בריאות,1,4027e5cf39
בית חולים וולפסון,1,26356b1460
14,1,aab3238922
דאעש,2,9829a09806
יחידת החילוץ וה הצלה,1,d3ded2cae0
אחים לנשק,17,164b90c554
 ישרוטל ,2,11265244eb
לנשק ,2,b88c4c6f70
היס״מ,1,422ed33c91
 כ,1,43943f9f3a
משמר הגבול,2,b20e0cc3e2
דור אלון,1,d72b947ee2
ישיבת באר שבע,1,ed4c7d6961
פיקוד הדרום,1,03f7c8a57c
גדוד 13,1,0fa87c7a6a
מגב,1,933ce9fe9c
youtube,2,ba9bf05693
איכילוב,1,30c66b5d48
רדיו הקצה,1,a0ff5e1713
סיירת גבעתי,3,51c866049b
בזק,2,4272ebd33a
בנק הפועלים,1,7f46bcb7f1
מוסד,1,d4650981ee
united states,1,152649df34
עירית תל אביב,1,c89e419315
קופת חולים מאוחדת,1,6ee98ad1b2
משרד העבודה,2,3cf13f3bcb
מקומי,2,08ee9b8368
צבא לחמל,2,8d9262f65a
רויטרס,3,288b9121dc
משרד הבריאות,5,e3fc668ef7
לשכת ראש הממשלה,1,d38d89134a
וואלה,4,176a2fa826
הליכוד,3,2462e4dd9b
הצדעה,3,b9aa610533
משרד החוץ,2,df43b68400
החולים שיפא בעזה,1,2d316aca18
חמאס בעזה,2,a08e67e6c9
דובר צה״ל,4,8e973ed09c
ארגון ילדי המלחמה של כולנו,1,f6da9d718e
iwf,1,6e13531277
בית חולים שניידר,2,5127d2e3bb
עמותת עלם,1,9f0926159f
פלס״ר,2,e33673ba0c
תיכון לאומנויות ירושלים,1,2b6d879e95
הצלב האדום,4,e24ee0d753
mit,2,72e4fb8f76
וועדת הכספים,1,68cb78d2d7
הסתדרות המורים,1,844786e51b
איגוד המורים האמריקאי,1,14f4c14319
ערוץ 13,1,ed81081549
5,1,e4da3b7fbb
חטיבה 5,1,4ee3dd3f2a
עיריית ירושלים,2,48e8105d13
משרד החינוך,2,c68a4be07d
השירות הפסיכולוגי,1,8419c5966d
אוניברסיטת חיפה,1,304974a9a4
הירושלמי ,1,41383a910e
אחד ,1,5c903f5a96
המתנ״ס,1,3fcb1506ea
עירוני ה׳,1,3b875d752f
שבט הצופים,1,fbd1ed8e3f
אפיק,1,237f7f5056
אלון ואליאנס,1,acdbfdac9b
בית הספר אלון,1,93707d5b4d
דרומי אחים למשק,1,8958535c9c
כיסופים,1,758440c185
ארכיון דובר צה״ל,1,ee97c81714
אגוז,2,3987b30354
מועצה אזורית אשכול,1,7988d5cdf2
ביטוח לאומי,1,0865b2f91d
כלכליסט,1,bacd43e45a
פייבוקס,1,09441580e7
קופ״ח,1,c61f22eac3
מג״ב,1,2f8a5e2564
רשות החירום הלאומית,1,b8c95ef7e3
whatsapp,1,c4f79e15f8
economist,1,cfea0be69f
סמסונג,1,3772a12993
סיירת מטכ״ל,1,983779ad79
סיירת מגלן,1,af06553ab6
ער״ן,2,d457b45cb8
גדוד 890,1,4a5ff8b971
אג״ם,1,b972eecbeb
חיל הנדסה,1,cd29f12338
נח״ל,1,fda9088cef
ביטחון שדה,1,d91e82d730
מוקד 100,1,f6d9850663
מבטחים,1,7d9d2b0c87
וועדת הבריאות,1,a5f2c7beac
מכינה קדם צבאית,1,e6a5264b4a
המדרשה,1,bc2d312190
חמ״ל האזרחי,1,c8c33fb187
מדרשת חנתון,1,79bad8656b
תקומה,1,7147be0f9d
החמ״ל האזרחי,3,a79494fca1
הביטוח הלאומי,3,954db9f797
barzilai hospital,1,5d2961331e
עיריית נתניה,1,2f71563f13
נט״ל,1,32684139de
עיריית אשקלון,1,338b010b36
הבריאות,2,194b7692a4
איגוד העובדים הסוציאלים,1,a40f350993
מכון חרוב,1,c81de6bdf1
וועדה לביקורת המדינה,1,b002409d92
מועצת התלמידים וה נוער הארצית,1,3fe8f52128
חוסן,1,7b6b487dfe
אוצר,1,35c15e9352
עבודה סוציאלית,1,553157e4cc
המועצה לשלום הילד,1,d0dd4f35a4
מועצה לשלום הילד,1,f5af4b9a99
הנהגת ההורים הארצית,1,721e73e311
עמותת גושן,1,70c92a1d3a
איגוד העובדות וה עובדים הסוציאליים,1,9eddccebcc
איגוד רופאי הילדים,1,295bfdb5a5
הארץ,2,5e2b80a3f6
ביטוח הלאומי,3,7e1f56305a
ממשלת נפאל,1,cd1e9c2a30
וול סטריט ג׳ורנל,1,61d459e045
בית החולים שיפא ברצועה,1,3e0e5b805e
יהלו״ם,3,dc616a8bc7
האוניברסיטה העברית,2,8a963df0e5
תזמורת צה״ל,1,37d256c300
ידיעות אחרונות,2,a2eb8867f5
זקא,1,121527da27
רשות הטבע והגנים,9,bad0f541b9
אלפא,2,2891a4d551
כלבי גיבורים,2,4f429d8e4e
mako,2,3dffcd8113
עמותת חיים בשביל החי,2,239de2d0cb
כלב פגום,5,c18b467ecf
גלובס,2,2b7698ccfc
מועצה אזורית מנשה,1,31e7a38585
בית הספר מבואות עירון,1,2705e8e371
אילת אנימלס,4,1a6cd44010
אנימל,5,1d89bc10b3
עמותת עטלף,3,985112f05d
ארגון הרופאים הוטרינרים לחיות הבית,1,5d42dbe091
אשכול נגב מערבי,3,0637c1ba86
תנו לחיות לחיות,8,f9864dd271
